WeekID,Week Position,Song,Performer,SongID
2016-05-21,1,One Dance,Drake Featuring WizKid & Kyla,One DanceDrake Featuring WizKid & Kyla
2016-05-28,1,Can't Stop The Feeling!,Justin Timberlake,Can't Stop The Feeling!Justin Timberlake
2016-06-04,1,One Dance,Drake Featuring WizKid & Kyla,One DanceDrake Featuring WizKid & Kyla
2016-06-11,1,One Dance,Drake Featuring WizKid & Kyla,One DanceDrake Featuring WizKid & Kyla
2016-06-18,1,One Dance,Drake Featuring WizKid & Kyla,One DanceDrake Featuring WizKid & Kyla
2016-06-25,1,One Dance,Drake Featuring WizKid & Kyla,One DanceDrake Featuring WizKid & Kyla
2016-07-02,1,One Dance,Drake Featuring WizKid & Kyla,One DanceDrake Featuring WizKid & Kyla
2016-07-09,1,One Dance,Drake Featuring WizKid & Kyla,One DanceDrake Featuring WizKid & Kyla
2016-07-16,1,One Dance,Drake Featuring WizKid & Kyla,One DanceDrake Featuring WizKid & Kyla
2016-07-23,1,One Dance,Drake Featuring WizKid & Kyla,One DanceDrake Featuring WizKid & Kyla
2016-07-30,1,One Dance,Drake Featuring WizKid & Kyla,One DanceDrake Featuring WizKid & Kyla
2016-08-06,1,Cheap Thrills,Sia Featuring Sean Paul,Cheap ThrillsSia Featuring Sean Paul
2016-08-13,1,Cheap Thrills,Sia Featuring Sean Paul,Cheap ThrillsSia Featuring Sean Paul
2016-08-20,1,Cheap Thrills,Sia Featuring Sean Paul,Cheap ThrillsSia Featuring Sean Paul
2016-08-27,1,Cheap Thrills,Sia Featuring Sean Paul,Cheap ThrillsSia Featuring Sean Paul
2016-09-03,1,Closer,The Chainsmokers Featuring Halsey,CloserThe Chainsmokers Featuring Halsey
2016-09-10,1,Closer,The Chainsmokers Featuring Halsey,CloserThe Chainsmokers Featuring Halsey
2016-09-17,1,Closer,The Chainsmokers Featuring Halsey,CloserThe Chainsmokers Featuring Halsey
2016-09-24,1,Closer,The Chainsmokers Featuring Halsey,CloserThe Chainsmokers Featuring Halsey
2016-10-01,1,Closer,The Chainsmokers Featuring Halsey,CloserThe Chainsmokers Featuring Halsey
2016-10-08,1,Closer,The Chainsmokers Featuring Halsey,CloserThe Chainsmokers Featuring Halsey
2016-10-15,1,Closer,The Chainsmokers Featuring Halsey,CloserThe Chainsmokers Featuring Halsey
2016-10-22,1,Closer,The Chainsmokers Featuring Halsey,CloserThe Chainsmokers Featuring Halsey
2016-10-29,1,Closer,The Chainsmokers Featuring Halsey,CloserThe Chainsmokers Featuring Halsey
2016-11-05,1,Closer,The Chainsmokers Featuring Halsey,CloserThe Chainsmokers Featuring Halsey
2016-11-12,1,Closer,The Chainsmokers Featuring Halsey,CloserThe Chainsmokers Featuring Halsey
2016-11-19,1,Closer,The Chainsmokers Featuring Halsey,CloserThe Chainsmokers Featuring Halsey
