Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Name
2013-07-01,1609.780029,1626.609985,1609.780029,1614.959961,1614.959961,3104690000,2013,7,1,Monday
2013-07-08,1634.199951,1644.680054,1634.199951,1640.459961,1640.459961,3514590000,2013,7,8,Monday
2013-07-15,1679.589966,1684.5100100000002,1677.890015,1682.5,1682.5,2623200000,2013,7,15,Monday
2013-07-22,1694.410034,1697.609985,1690.6700440000002,1695.530029,1695.530029,2779130000,2013,7,22,Monday
2013-07-29,1690.319946,1690.9200440000002,1681.859985,1685.3299559999998,1685.3299559999998,2840520000,2013,7,29,Monday
2013-08-05,1708.0100100000002,1709.2399899999998,1703.550049,1707.140015,1707.140015,2529300000,2013,8,5,Monday
2013-08-12,1688.369995,1691.4899899999998,1683.3499760000002,1689.469971,1689.469971,2789160000,2013,8,12,Monday
2013-08-19,1655.25,1659.180054,1645.839966,1646.060059,1646.060059,2904530000,2013,8,19,Monday
2013-08-26,1664.290039,1669.51001,1656.02002,1656.780029,1656.780029,2430670000,2013,8,26,Monday
2013-09-09,1656.849976,1672.400024,1656.849976,1671.709961,1671.709961,3102780000,2013,9,9,Monday
2013-09-16,1691.699951,1704.949951,1691.699951,1697.5999760000002,1697.5999760000002,3079800000,2013,9,16,Monday
2013-09-23,1711.439941,1711.439941,1697.0999760000002,1701.839966,1701.839966,3126950000,2013,9,23,Monday
2013-09-30,1687.2600100000002,1687.2600100000002,1674.98999,1681.550049,1681.550049,3308630000,2013,9,30,Monday
2013-10-07,1687.1500239999998,1687.1500239999998,1674.699951,1676.119995,1676.119995,2678490000,2013,10,7,Monday
2013-10-14,1699.859985,1711.030029,1692.130005,1710.140015,1710.140015,2580580000,2013,10,14,Monday
2013-10-21,1745.199951,1747.790039,1740.6700440000002,1744.660034,1744.660034,3052710000,2013,10,21,Monday
2013-10-28,1759.4200440000002,1764.9899899999998,1757.6700440000002,1762.109985,1762.109985,3282300000,2013,10,28,Monday
2013-11-04,1763.4000239999998,1768.780029,1761.560059,1767.930054,1767.930054,3194870000,2013,11,4,Monday
2013-11-11,1769.959961,1773.439941,1767.8499760000002,1771.890015,1771.890015,2534060000,2013,11,11,Monday
2013-11-18,1798.819946,1802.3299559999998,1788.0,1791.530029,1791.530029,3168520000,2013,11,18,Monday
2013-11-25,1806.3299559999998,1808.0999760000002,1800.5799559999998,1802.47998,1802.47998,2998540000,2013,11,25,Monday
2013-12-02,1806.550049,1810.02002,1798.5999760000002,1800.9000239999998,1800.9000239999998,3095430000,2013,12,2,Monday
2013-12-09,1806.209961,1811.52002,1806.209961,1808.369995,1808.369995,3129500000,2013,12,9,Monday
2013-12-16,1777.47998,1792.219971,1777.47998,1786.540039,1786.540039,3209890000,2013,12,16,Monday
2013-12-23,1822.9200440000002,1829.75,1822.9200440000002,1827.9899899999998,1827.9899899999998,2851540000,2013,12,23,Monday
2013-12-30,1841.469971,1842.469971,1838.77002,1841.069946,1841.069946,2293860000,2013,12,30,Monday
2014-01-06,1832.310059,1837.160034,1823.72998,1826.77002,1826.77002,3294850000,2014,1,6,Monday
2014-01-13,1841.2600100000002,1843.449951,1815.52002,1819.199951,1819.199951,3591350000,2014,1,13,Monday
2014-01-27,1791.030029,1795.97998,1772.880005,1781.560059,1781.560059,4045200000,2014,1,27,Monday
2014-02-03,1782.680054,1784.8299559999998,1739.660034,1741.890015,1741.890015,4726040000,2014,2,3,Monday
2014-02-10,1796.199951,1799.939941,1791.8299559999998,1799.839966,1799.839966,3312160000,2014,2,10,Monday
2014-02-24,1836.780029,1858.709961,1836.780029,1847.609985,1847.609985,4014530000,2014,2,24,Monday
2014-03-03,1857.680054,1857.680054,1834.439941,1845.72998,1845.72998,3428220000,2014,3,3,Monday
2014-03-10,1877.859985,1877.869995,1867.040039,1877.1700440000002,1877.1700440000002,3021350000,2014,3,10,Monday
2014-03-17,1842.810059,1862.300049,1842.810059,1858.8299559999998,1858.8299559999998,2860490000,2014,3,17,Monday
2014-03-24,1867.6700440000002,1873.339966,1849.689941,1857.439941,1857.439941,3409000000,2014,3,24,Monday
2014-03-31,1859.160034,1875.180054,1859.160034,1872.339966,1872.339966,3274300000,2014,3,31,Monday
2014-04-07,1863.9200440000002,1864.040039,1841.47998,1845.040039,1845.040039,3801540000,2014,4,7,Monday
2014-04-14,1818.180054,1834.189941,1815.800049,1830.609985,1830.609985,3111540000,2014,4,14,Monday
2014-04-21,1865.790039,1871.890015,1863.180054,1871.890015,1871.890015,2642500000,2014,4,21,Monday
2014-04-28,1865.0,1877.0100100000002,1850.609985,1869.430054,1869.430054,4034680000,2014,4,28,Monday
2014-05-05,1879.449951,1885.5100100000002,1866.77002,1884.660034,1884.660034,2733730000,2014,5,5,Monday
2014-05-12,1880.030029,1897.130005,1880.030029,1896.6500239999998,1896.6500239999998,3005740000,2014,5,12,Monday
2014-05-19,1876.660034,1886.0,1872.4200440000002,1885.0799559999998,1885.0799559999998,2664250000,2014,5,19,Monday
2014-06-02,1923.869995,1925.880005,1915.97998,1924.969971,1924.969971,2509020000,2014,6,2,Monday
2014-06-09,1948.969971,1955.550049,1947.160034,1951.27002,1951.27002,2812180000,2014,6,9,Monday
2014-06-16,1934.839966,1941.1500239999998,1930.910034,1937.780029,1937.780029,2926130000,2014,6,16,Monday
2014-06-23,1962.9200440000002,1963.7399899999998,1958.890015,1962.609985,1962.609985,2717630000,2014,6,23,Monday
2014-06-30,1960.790039,1964.2399899999998,1958.219971,1960.22998,1960.22998,3037350000,2014,6,30,Monday
2014-07-07,1984.219971,1984.219971,1974.880005,1977.6500239999998,1977.6500239999998,2681260000,2014,7,7,Monday
2014-07-14,1969.859985,1979.8499760000002,1969.859985,1977.0999760000002,1977.0999760000002,2744920000,2014,7,14,Monday
2014-07-21,1976.930054,1976.930054,1965.77002,1973.630005,1973.630005,2611160000,2014,7,21,Monday
2014-07-28,1978.25,1981.52002,1967.310059,1978.910034,1978.910034,2803320000,2014,7,28,Monday
2014-08-04,1926.619995,1942.9200440000002,1921.199951,1938.9899899999998,1938.9899899999998,3072920000,2014,8,4,Monday
2014-08-11,1933.430054,1944.9000239999998,1933.430054,1936.9200440000002,1936.9200440000002,2784890000,2014,8,11,Monday
2014-08-18,1958.359985,1971.9899899999998,1958.359985,1971.7399899999998,1971.7399899999998,2638160000,2014,8,18,Monday
